CREATION_MONTH,ACTIVE_2024,LOGINS,USERS,MOM_GROWTH_RATE
2025-02-01 00:00:00.000,0,6489,6984,-20.38
2025-01-01 00:00:00.000,0,8213,8772,10.24
2024-12-01 00:00:00.000,2544,7559,7957,-9.07
2024-11-01 00:00:00.000,2795,8087,8751,30.30
2024-10-01 00:00:00.000,2071,5994,6716,42.26
2024-09-01 00:00:00.000,1781,4272,4721,6.88
2024-08-01 00:00:00.000,1587,3985,4417,27.95
2024-07-01 00:00:00.000,1203,3060,3452,44.13
2024-06-01 00:00:00.000,822,2100,2395,-9.55
2024-05-01 00:00:00.000,967,2369,2648,-15.59
2024-04-01 00:00:00.000,843,2727,3137,15.12
2024-03-01 00:00:00.000,678,2431,2725,-10.86
2024-02-01 00:00:00.000,961,2665,3057,-0.23
2024-01-01 00:00:00.000,816,2704,3064,28.85
2023-12-01 00:00:00.000,293,2129,2378,-14.06
2023-11-01 00:00:00.000,247,2477,2767,-21.55
2023-10-01 00:00:00.000,205,3112,3527,96.27
2023-09-01 00:00:00.000,78,1585,1797,377.93
2023-08-01 00:00:00.000,54,343,376,-22.31
2023-07-01 00:00:00.000,52,444,484,76.64
2023-06-01 00:00:00.000,30,256,274,
